long_1,long_2,long_3,long_4,long_5,long_6,long_7,long_8,long_9,long_10,short_1,short_2,short_3,short_4,short_5,short_6,short_7,short_8,short_9,short_10
0.783406,0.783406,1.253899,-0.625384,0.396230,-0.740167,-1.478682,-1.559321,-1.049952,1.836655,0.318379,0.318379,1.485449,0.080056,0.362726,-1.746043,-2.204838,-1.732338,-0.077716,1.127810
-0.088601,-0.088601,-1.224644,-2.496289,0.783650,-1.252392,-0.279928,-0.295877,0.251094,0.494955,1.322023,1.322023,-0.657555,-2.499697,1.132284,0.842363,-1.408858,-1.926378,0.580784,1.012782
0.880406,0.880406,0.063987,-0.592679,1.667117,0.790365,0.118964,0.289183,-0.331035,-0.880860,-2.091144,-2.091144,-1.010059,-0.200837,1.540780,0.619266,-1.740752,-1.721311,-1.688027,1.181583
-0.490297,-0.490297,-0.793286,-1.084210,0.710117,0.488129,0.166964,0.027705,-0.699166,1.233132,1.096553,1.096553,1.700661,1.339769,1.269284,0.649451,-0.311210,-0.726814,2.466533,0.658434
0.772382,0.772382,1.751141,-0.344515,-0.204566,1.002848,0.723314,0.931032,1.673843,-1.073781,0.330869,0.330869,1.192381,-1.150939,-2.570336,-1.013272,0.770543,1.533792,2.312705,-2.297172
0.468178,0.468178,0.184619,0.347738,-0.042841,-0.073977,0.143159,-0.268104,-0.802362,1.492895,-1.057818,-1.057818,-0.327303,0.639072,0.178876,-0.223859,-1.465716,-0.043227,0.381636,2.764975
-0.084111,-0.084111,-0.752379,-0.968759,-2.283384,-0.075995,0.740709,-0.120549,-0.038759,-1.219524,0.101398,0.101398,-0.833470,-0.076425,-2.050376,1.006453,2.549473,-1.152597,0.011799,0.471425
-0.860630,-0.860630,-0.761156,-0.405104,-2.312840,0.498158,0.443186,0.183067,0.037432,-0.739323,1.201958,1.201958,0.809200,-0.546895,-2.952971,1.430225,1.358017,0.376801,1.879635,-1.776413
1.286515,1.286515,-0.626128,0.295088,-0.736766,0.221716,2.124249,0.914757,0.101108,-1.363045,0.779158,0.779158,1.118197,0.894465,1.755352,1.868297,2.412426,2.020488,-0.559971,-0.260719
-1.472082,-1.472082,-1.012184,-1.052725,-0.199510,-2.390641,-1.987720,-2.047624,-1.489837,0.089440,-1.636058,-1.636058,-2.406712,-0.580166,-0.508803,-0.602122,-1.823938,-3.874504,-1.418552,-0.388127
0.307262,0.307262,-1.015937,-0.852106,1.742828,0.395482,1.340030,0.102673,1.391530,2.402549,2.370965,2.370965,-1.053184,-0.162412,2.793533,0.995583,1.885054,-0.725810,3.512016,2.511549
1.901888,1.901888,0.802722,0.181931,-2.209774,0.450115,0.757265,-0.182811,1.746695,-0.789298,0.774577,0.774577,0.236401,-0.818834,-0.683764,0.659980,1.844814,0.812517,1.512119,0.331713
0.481064,0.481064,-1.581279,0.251725,-1.749423,0.461843,0.322858,-0.855306,-0.633206,1.965767,-2.269258,-2.269258,-2.817293,-3.791043,-2.245489,-1.038604,-0.200922,-1.759235,-1.003370,-2.471636
